_id_x,userId,timestamp,sessionId,itemsCollected,pickupAttempts,timeNearInteractables,enemiesHit,damageDone,timeInCombat,distanceTraveled,timeOutOfCombat,timeSprinting,kills,died,rawJson.user_id,rawJson.session_id,rawJson.timestamp,rawJson.items_collected,rawJson.pickup_attempts,rawJson.time_near_interactables,rawJson.enemies_hit,rawJson.damage_done,rawJson.time_in_combat,rawJson.distance_traveled,rawJson.time_out_of_combat,rawJson.time_sprinting,rawJson.kills,rawJson.deaths,__v_x,death_count,_id_y,consentAgreed,apiKey,createdAt,__v_y
6974894b48d53c4152cf142a,6974892348d53c4152cf1421,1769264803.613,unreal_1769245003613,0.0,0.0,0.0,0.0,0.0,0.0,0.11587490078213449,0.9836065573770493,0.0,0.0,False,6974892348d53c4152cf1421,unreal_1769245003613,2026-01-24T14:26:43.613Z,0,0,0,0,0.0,0.0,1944.991014275692,30.0,0.0,0,0,0,0,6974892348d53c4152cf1421,True,key_2tknxe0by,2026-01-24T14:26:03.703Z,0
6974896948d53c4152cf1461,6974892348d53c4152cf1421,1769264833.617,unreal_1769245033617,0.23076923076923078,0.05952380952380952,0.15555555555555556,0.0,0.0,0.0,0.7063808627187167,0.9672131147540984,0.1639344262295082,0.0,False,6974892348d53c4152cf1421,unreal_1769245033617,2026-01-24T14:27:13.617Z,3,5,7,0,0.0,0.0,11856.790567850418,29.5,5.0,0,0,0,0,6974892348d53c4152cf1421,True,key_2tknxe0by,2026-01-24T14:26:03.703Z,0
6974898748d53c4152cf148d,6974892348d53c4152cf1421,1769264863.607,unreal_1769245063607,0.07692307692307693,0.023809523809523808,0.044444444444444446,0.0,0.0,0.0,0.7680743204061685,1.0,0.13114754098360656,0.0,False,6974892348d53c4152cf1421,unreal_1769245063607,2026-01-24T14:27:43.607Z,1,2,2,0,0.0,0.0,12892.331655970096,30.5,4.0,0,0,0,0,6974892348d53c4152cf1421,True,key_2tknxe0by,2026-01-24T14:26:03.703Z,0
697489a548d53c4152cf14b7,6974892348d53c4152cf1421,1769264893.601,unreal_1769245093601,0.23076923076923078,0.03571428571428571,0.08888888888888889,0.0,0.0,0.0,0.6929663041402463,0.9836065573770493,0.0,0.0,False,6974892348d53c4152cf1421,unreal_1769245093601,2026-01-24T14:28:13.601Z,3,3,4,0,0.0,0.0,11631.62363593083,30.0,0.0,0,0,0,0,6974892348d53c4152cf1421,True,key_2tknxe0by,2026-01-24T14:26:03.703Z,0
697489c348d53c4152cf14e4,6974892348d53c4152cf1421,1769264923.579,unreal_1769245123579,0.07692307692307693,0.13095238095238093,0.17777777777777778,0.010638297872340425,0.006396588486140725,0.06557377049180328,0.6855353065640858,0.9180327868852459,0.0,0.0,False,6974892348d53c4152cf1421,unreal_1769245123579,2026-01-24T14:28:43.579Z,1,11,8,1,8.0,2.0,11506.892366128828,28.0,0.0,0,0,0,0,6974892348d53c4152cf1421,True,key_2tknxe0by,2026-01-24T14:26:03.703Z,0
697489e148d53c4152cf151a,6974892348d53c4152cf1421,1769264953.61,unreal_1769245153610,0.0,0.0,0.0,0.2553191489361702,0.1321961620469083,0.5081967213114754,0.40009524097606686,0.45901639344262296,0.0,0.2,False,6974892348d53c4152cf1421,unreal_1769245153610,2026-01-24T14:29:13.610Z,0,0,0,24,165.33333333333331,15.5,6715.704982704047,14.0,0.0,3,0,0,0,6974892348d53c4152cf1421,True,key_2tknxe0by,2026-01-24T14:26:03.703Z,0
697489ff48d53c4152cf155f,6974892348d53c4152cf1421,1769264983.588,unreal_1769245183588,0.07692307692307693,0.011904761904761904,0.022222222222222223,0.07446808510638298,0.0511727078891258,0.21311475409836067,0.688120728323022,0.7868852459016393,0.3770491803278689,0.06666666666666667,False,6974892348d53c4152cf1421,unreal_1769245183588,2026-01-24T14:29:43.588Z,1,1,1,7,64.0,6.5,11550.289357671443,24.0,11.5,1,0,0,0,6974892348d53c4152cf1421,True,key_2tknxe0by,2026-01-24T14:26:03.703Z,0
69748a1d48d53c4152cf15a2,6974892348d53c4152cf1421,1769265013.597,unreal_1769245213597,0.07692307692307693,0.023809523809523808,0.022222222222222223,0.0,0.0,0.0,0.8102674798123116,0.9836065573770493,0.39344262295081966,0.0,False,6974892348d53c4152cf1421,unreal_1769245213597,2026-01-24T14:30:13.597Z,1,2,1,0,0.0,0.0,13600.555053400638,30.0,12.0,0,0,0,0,6974892348d53c4152cf1421,True,key_2tknxe0by,2026-01-24T14:26:03.703Z,0
69748a3b48d53c4152cf15dc,6974892348d53c4152cf1421,1769265043.585,unreal_1769245243585,0.15384615384615385,0.03571428571428571,0.08888888888888889,0.0,0.0,0.0,0.7098337870915381,0.9672131147540984,0.04918032786885246,0.0,False,6974892348d53c4152cf1421,unreal_1769245243585,2026-01-24T14:30:43.585Z,2,3,4,0,0.0,0.0,11914.748821387466,29.5,1.5,0,0,0,0,6974892348d53c4152cf1421,True,key_2tknxe0by,2026-01-24T14:26:03.703Z,0
69748a5948d53c4152cf1619,6974892348d53c4152cf1421,1769265073.61,unreal_1769245273610,0.15384615384615385,0.05952380952380952,0.15555555555555556,0.0,0.0,0.0,0.7757659202446384,0.9836065573770493,0.24590163934426232,0.0,False,6974892348d53c4152cf1421,unreal_1769245273610,2026-01-24T14:31:13.610Z,2,5,7,0,0.0,0.0,13021.43720402451,30.0,7.5,0,0,0,0,6974892348d53c4152cf1421,True,key_2tknxe0by,2026-01-24T14:26:03.703Z,0
